kx	ky	energy
-3.043418	-1.767146	3.924312	3.836788
-3.043418	-1.718058	3.827593	3.740068
-3.043418	-1.668971	3.730166	3.642642
-3.043418	-1.619884	3.632267	3.544743
-3.043418	-1.570796	3.534132	3.446607
-3.043418	-1.521709	3.435996	3.348472
-3.043418	-1.472622	3.338097	3.250573
-3.043418	-1.423534	3.240671	3.153146
-3.043418	-1.374447	3.143951	3.056427
-3.043418	-1.325359	3.048171	2.960647
-3.043418	-1.276272	2.953562	2.866038
-3.043418	-1.227185	2.860352	2.772828
-3.043418	-1.178097	2.768765	2.681240
-3.043418	-1.129010	2.679021	2.591497
-3.043418	-1.079922	2.591338	2.503814
-3.043418	-1.030835	2.505926	2.418402
-3.043418	-0.981748	2.422991	2.335467
-3.043418	-0.932660	2.342733	2.255209
-3.043418	-0.883573	2.265345	2.177821
-3.043418	-0.834486	2.191014	2.103489
-3.043418	-0.785398	2.119918	2.032394
-3.043418	-0.736311	2.052229	1.964705
-3.043418	-0.687223	1.988111	1.900586
-3.043418	-0.638136	1.927717	1.840192
-3.043418	-0.589049	1.871192	1.783668
-3.043418	-0.539961	1.818674	1.731150
-3.043418	-0.490874	1.770289	1.682765
-3.043418	-0.441786	1.726153	1.638629
-3.043418	-0.392699	1.686373	1.598848
-3.043418	-0.343612	1.651044	1.563519
-3.043418	-0.294524	1.620251	1.532727
-3.043418	-0.245437	1.594069	1.506545
-3.043418	-0.196350	1.572561	1.485037
-3.043418	-0.147262	1.555779	1.468254
-3.043418	-0.098175	1.543762	1.456238
-3.043418	-0.049087	1.536541	1.449016
-3.043418	0.000000	1.534132	1.446607
-3.043418	0.049087	1.536541	1.449016
-3.043418	0.098175	1.543762	1.456238
-3.043418	0.147262	1.555779	1.468254
-3.043418	0.196350	1.572561	1.485037
-3.043418	0.245437	1.594069	1.506545
-3.043418	0.294524	1.620251	1.532727
-3.043418	0.343612	1.651044	1.563519
-3.043418	0.392699	1.686373	1.598848
-3.043418	0.441786	1.726153	1.638629
-3.043418	0.490874	1.770289	1.682765
-3.043418	0.539961	1.818674	1.731150
-3.043418	0.589049	1.871192	1.783668
-3.043418	0.638136	1.927717	1.840192
-3.043418	0.687223	1.988111	1.900586
-3.043418	0.736311	2.052229	1.964705
-3.043418	0.785398	2.119918	2.032394
-3.043418	0.834486	2.191014	2.103489
-3.043418	0.883573	2.265345	2.177821
-3.043418	0.932660	2.342733	2.255209
-3.043418	0.981748	2.422991	2.335467
-3.043418	1.030835	2.505926	2.418402
-3.043418	1.079922	2.591338	2.503814
-3.043418	1.129010	2.679021	2.591497
-3.043418	1.178097	2.768765	2.681240
-3.043418	1.227185	2.860352	2.772828
-3.043418	1.276272	2.953562	2.866038
-3.043418	1.325359	3.048171	2.960647
-3.043418	1.374447	3.143951	3.056427
-3.043418	1.423534	3.240671	3.153146
-3.043418	1.472622	3.338097	3.250573
-3.043418	1.521709	3.435996	3.348472
-3.043418	1.570796	3.534132	3.446607
-3.043418	1.619884	3.632267	3.544743
-3.043418	1.668971	3.730166	3.642642
-3.043418	1.718058	3.827593	3.740068
-3.043418	1.767146	3.924312	3.836788
-3.043418	1.816233	4.020092	3.932568
-3.043418	1.865321	4.114701	4.027177
-3.043418	1.914408	4.207911	4.120387
-3.043418	1.963495	4.299499	4.211974
-3.043418	2.012583	4.389242	4.301717
-3.043418	2.061670	4.476925	4.389401
-3.043418	2.110758	4.562337	4.474813
-3.043418	2.159845	4.645272	4.557748
-3.043418	2.208932	4.725530	4.638006
-3.043418	2.258020	4.802918	4.715394
-3.043418	2.307107	4.877250	4.789725
-3.043418	2.356194	4.948345	4.860821
-3.043418	2.405282	5.016034	4.928509
-3.043418	2.454369	5.080153	4.992628
-3.043418	2.503457	5.140547	5.053022
-3.043418	2.552544	5.197071	5.109546
-3.043418	2.601631	5.249589	5.162064
-3.043418	2.650719	5.297974	5.210450
-3.043418	2.699806	5.342110	5.254586
-3.043418	2.748894	5.381891	5.294366
-3.043418	2.797981	5.417220	5.329695
-3.043418	2.847068	5.448012	5.360488
-3.043418	2.896156	5.474194	5.386670
-3.043418	2.945243	5.495702	5.408178
-3.043418	2.994330	5.512485	5.424960
-3.043418	3.043418	5.524501	5.436977
-3.043418	3.092505	5.531723	5.444198
-2.994330	-3.141593	5.522115	5.434591
-2.994330	-3.092505	5.519706	5.432182
-2.994330	-3.043418	5.512485	5.424960
-2.994330	-2.994330	5.500468	5.412944
-2.994330	-2.945243	5.483686	5.396161
-2.994330	-2.896156	5.462178	5.374653
-2.994330	-2.847068	5.435996	5.348471
-2.994330	-2.797981	5.405203	5.317679
-2.994330	-2.748894	5.369874	5.282350
-2.994330	-2.699806	5.330094	5.242569
-2.994330	-2.650719	5.285958	5.198433
-2.994330	-2.601631	5.237572	5.150048
-2.994330	-2.552544	5.185054	5.097530
-2.994330	-2.503457	5.128530	5.041006
-2.994330	-2.454369	5.068136	4.980612
-2.994330	-2.405282	5.004017	4.916493
-2.994330	-2.356194	4.936329	4.848804
-2.994330	-2.307107	4.865233	4.777709
-2.994330	-2.258020	4.790902	4.703377
-2.994330	-2.208932	4.713514	4.625989
-2.994330	-2.159845	4.633256	4.545731
-2.994330	-2.110758	4.550321	4.462796
-2.994330	-2.061670	4.464909	4.377384
-2.994330	-2.012583	4.377225	4.289701
-2.994330	-1.963495	4.287482	4.199958
-2.994330	-1.914408	4.195895	4.108371
-2.994330	-1.865321	4.102685	4.015160
-2.994330	-1.816233	4.008076	3.920551
-2.994330	-1.767146	3.912296	3.824771
-2.994330	-1.718058	3.815576	3.728052
-2.994330	-1.668971	3.718150	3.630625
-2.994330	-1.619884	3.620251	3.532726
-2.994330	-1.570796	3.522115	3.434591
-2.994330	-1.521709	3.423980	3.336455
