path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
133	2.204716	2.234798	4.083744	4.113826	1.286358	5.032184
134	2.241404	2.198110	4.077138	4.120432	1.286293	5.032249
135	2.190312	2.249202	4.069341	4.128230	1.286187	5.032355
136	2.258187	2.181328	4.137215	4.060356	1.286024	5.032518
137	2.268353	2.171161	4.147381	4.050190	1.285788	5.032754
138	2.159820	2.279695	4.158723	4.038848	1.285460	5.033083
139	2.292205	2.147309	4.171233	4.026338	1.285018	5.033525
140	2.133638	2.305876	4.012666	4.184905	1.284440	5.034103
141	2.320701	2.118813	4.199729	3.997842	1.283700	5.034842
142	2.336669	2.102845	4.215697	3.981874	1.282773	5.035769
143	2.353771	2.085743	4.232800	3.964771	1.281630	5.036913
144	2.371998	2.067516	3.946544	4.251026	1.280241	5.038301
145	2.048177	2.391338	3.927205	4.270366	1.278575	5.039967
146	2.411778	2.027736	3.906764	4.290807	1.276600	5.041942
147	2.433308	2.006206	4.312337	3.885234	1.274283	5.044260
148	1.983600	2.455915	3.862628	4.334943	1.271588	5.046954
149	2.479583	1.959931	4.358611	3.838959	1.268481	5.050061
150	1.935214	2.504300	3.814243	4.383328	1.264927	5.053616
151	2.530050	1.909464	4.409078	3.788493	1.260888	5.057654
152	2.556818	1.882696	4.435846	3.761725	1.256330	5.062213
153	1.854927	2.584587	3.733955	4.463616	1.251215	5.067327
154	1.826172	2.613342	3.705200	4.492370	1.245509	5.073034
155	1.796450	2.643064	3.675478	4.522093	1.239176	5.079367
156	1.765778	2.673736	3.644806	4.552764	1.232182	5.086361
157	2.705339	1.734175	4.584368	3.613203	1.224493	5.094050
158	2.737855	1.701659	4.616883	3.580688	1.216077	5.102465
159	2.771263	1.668251	4.650291	3.547280	1.206904	5.111638
160	2.805544	1.633971	4.684572	3.512999	1.196945	5.121597
161	1.598838	2.840676	4.719704	3.477866	1.186173	5.132370
162	1.562875	2.876639	4.755667	3.441903	1.174562	5.143981
163	1.526103	2.913411	3.405131	4.792440	1.162090	5.156453
164	1.488544	2.950971	3.367572	4.829999	1.148736	5.169806
165	2.989294	1.450220	4.868322	3.329249	1.134484	5.184059
166	1.411156	3.028358	4.907387	3.290184	1.119317	5.199226
167	1.371373	3.068141	3.250402	4.947169	1.103224	5.215319
168	3.108617	1.330898	4.987645	3.209926	1.086194	5.232348
169	1.289752	3.149762	3.168781	5.028790	1.068222	5.250320
170	3.191552	1.247963	5.070580	3.126991	1.049304	5.269238
171	3.233961	1.205553	3.084582	5.112989	1.029439	5.289104
172	3.276964	1.162551	5.155992	3.041579	1.008629	5.309914
173	3.320534	1.118980	5.199563	2.998008	0.986879	5.331663
174	1.074867	3.364647	5.243675	2.953896	0.964197	5.354345
175	3.409274	1.030240	5.288303	2.909268	0.940594	5.377949
176	3.454390	0.985124	5.333419	2.864152	0.916082	5.402460
177	0.939547	3.499967	2.818575	5.378995	0.890678	5.427864
178	0.893537	3.545977	2.772565	5.425006	0.864399	5.454143
179	3.592394	0.847121	5.471422	2.726149	0.837266	5.481276
180	3.639188	0.800326	5.518216	2.679355	0.809301	5.509242
181	3.686332	0.753183	5.565360	2.632211	0.780528	5.538014
182	3.733797	0.705717	5.612825	2.584746	0.750974	5.567568
183	0.657960	3.781555	5.660583	2.536988	0.720667	5.597875
184	3.829576	0.609938	5.708605	2.488966	0.689637	5.628906
185	3.877833	0.561681	5.756862	2.440709	0.657913	5.660630
186	3.926296	0.513218	5.805324	2.392246	0.625528	5.693014
187	0.464578	3.974936	5.853964	2.343607	0.592517	5.726026
188	4.023723	0.415791	2.294820	5.902751	0.558912	5.759631
189	0.366886	4.072628	2.245915	5.951656	0.524749	5.793794
190	0.317892	4.121622	2.196921	6.000650	0.490064	5.828478
191	4.170675	0.268840	2.147868	6.049703	0.454894	5.863649
192	4.219757	0.219757	6.098785	2.098785	0.419275	5.899267
193	4.268840	0.170675	6.147868	2.049703	0.383246	5.935296
194	4.317892	0.121622	6.196921	2.000650	0.346844	5.971699
195	0.072628	4.366886	6.245915	1.951656	0.310106	6.008436
196	4.415791	0.023723	1.902751	6.294820	0.273072	6.045470
197	-0.025064	4.464578	6.343607	1.853964	0.235780	6.082762
198	4.513218	-0.073704	6.392246	1.805324	0.198268	6.120275
199	4.561681	-0.122167	6.440709	1.756862	0.160574	6.157968
200	4.609938	-0.170424	6.488966	1.708605	0.122737	6.195806
201	-0.218445	4.657960	1.660583	6.536988	0.084794	6.233748
202	-0.266203	4.705717	1.612825	6.584746	0.046784	6.271758
203	-0.313668	4.753183	6.632211	1.565360	0.008744	6.309799
204	4.800326	-0.360812	6.679355	1.518216	-0.029289	6.347831
205	-0.407606	4.847121	1.471422	6.726149	-0.067277	6.385820
206	-0.454023	4.893537	6.772565	1.425006	-0.105185	6.423728
